Item,Date,Amount
3 vegetales,2020/08/28,0
Aceite ,2020/08/01,1
Aceituna ,2020/08/01,1
Aceitunas negras,2020/08/01,1
Actimel,2020/08/29,14
Ajos,2020/11/05,1
Albondigas,2020/08/01,1
Arroz basmati,2020/08/01,9
Arroz blanco,2020/10/24,2
Arroz tres delicias,2020/10/31,1
Arroz verdura,2020/11/11,1
At칰n,2020/08/01,34
Bacalao,2020/10/16,2
Barras de pan,2020/10/25,3
Bases de pizza,2020/10/04,4
Batidos sin lactosa,2020/08/01,12
Batidos sin lactosa,2020/08/30,4
Bocas de mar,2020/10/18,3
Bonito del norte,2020/08/01,1
bote de lentejas ,2020/08/01,1
Br칩coli,2020/08/31,0
Burgos sin lactosa,2020/09/01,7
Calamares,2020/10/11,40
Calamares romana,2020/11/09,1
Caldo,2020/10/09,8
Caldo cocido,2020/08/01,6
Casa de cases,2020/10/20,1
Cereales ,2020/08/01,2
Cerveza,2020/08/01,17
Champi침ones 游꼓,2020/08/01,1
chocoflaques,2020/08/01,1
Chorizo,2020/09/02,0
Chuletas sajonia,2020/10/29,1
Cintas de bacon,2020/09/03,4
Croquetas,2020/10/10,10
Croquetas,2020/11/10,2
Edamame,2020/11/03,1
Emperador,2020/10/26,2
Ensalada,2020/09/04,0
Espagueti 游꼫 ,2020/08/01,1
Esp치rragos,2020/08/01,1
Esp치rragos,2020/09/05,0
Fabada,2020/08/01,1
Fajitas,2020/11/04,2
Fideos,2020/08/01,2
Figuritas,2020/11/07,1
Fresas,2020/11/02,1
Fresones,2020/09/06,0
galleta 游꼵 ,2020/08/01,1
Gambas,2020/10/23,1
Garbanzos,2020/08/01,2
Garcia Baquero,2020/09/07,0.5
Gazpacho,2020/09/08,3
Gelatinas,2020/09/09,9
Guisantes,2020/08/01,0
Hamburguesas verdes,2020/10/13,10
Harina,2020/08/01,1
Huevos,2020/08/01,24
Huevos codorniz,2020/08/01,36
Humus Aguacate,2020/09/10,1
Jamon serrano,2020/10/27,2
Jam칩n serrano,2020/09/11,0
Jam칩n York,2020/10/05,2
ketchup,2020/08/01,1
Leche de coco,2020/08/01,1
Lentejas,2020/10/30,2
Lentejas ,2020/08/01,2
Lomitos de salmon,2020/10/15,4
Lonchas de queso,2020/10/08,1
Macarrones,2020/08/01,1
Ma칤z 游꺟 ,2020/08/01,12
mayonesa,2020/08/01,2
Medallones de solomillo,2020/10/07,3
Mejillones,2020/08/01,1
Melocot칩n en almibar 游꼠 ,2020/08/01,7
mini,2020/08/01,3
Muslitos,2020/11/08,1
Nata para cocinar,2020/08/02,3
Nuggets,2020/11/15,15
Palomitas de maiz,2020/08/03,4
pan de pipas,2020/08/04,3
pan rallado ,2020/08/05,2
Pan rebanadas,2020/11/13,1
Paquetes de arroz,2020/08/06,4
pasta oriental,2020/08/07,6
Patatas fritas,2020/11/01,1
patatas fritas 游 ,2020/08/08,2
Pate ,2020/08/09,8
Pat칠 ib칠rico,2020/08/10,1
pechuga,2020/10/12,4
Pelota,2020/10/14,1
Picatostes ,2020/08/11,2
Pimientos de piquillo,2020/08/12,1
Pi침a 游꼜 ,2020/08/13,2
Pipas ,2020/08/14,2
Pollo en salsa,2020/10/17,1
Quesitos,2020/09/12,8
Queso fresco,2020/09/12,4
Queso Lonchas,2020/09/13,0
Queso pizza,2020/09/14,3
Queso sin lactosa,2020/09/15,2
Queso sin lactosa,2020/10/19,1
Queso Tierno,2020/10/06,2
Quinoa,2020/10/21,2
Refrescos,2020/08/15,6
Salchichas en bote,2020/08/16,3
Salchichas Frankfurt,2020/09/16,21
Salchichas Leche,2020/09/17,0
Salmon,2020/11/14,2
Salmon Ahumado,2020/09/18,0.5
Salteado,2020/10/28,1
Sardinillas,2020/08/17,2
Tallarines,2020/08/18,1
Taquitos Jam칩n,2020/09/19,3
Tomate frito,2020/08/19,10
Tomate para freir,2020/08/20,2
Tomate solo,2020/10/22,1
Tranchetes,2020/09/20,16
Tulipan,2020/09/21,1.5
Varitas Ketchup,2020/08/21,1
Varitas merluza,2020/11/06,3
Wok,2020/11/12,1
Yatekomo,2020/08/22,4
Yogur cereales,2020/09/22,2
Yogur Natural,2020/09/23,9
Yogur para beber,2020/09/24,0
Yogures azucar ca침a,2020/09/25,0
Yogures sin lactosa,2020/09/26,4
Zumo de pi침a,2020/08/23,11
Mantequilla,2020/08/23,500
Leche,2020/08/23,20000
Patatas,2020/08/23,10
Caldo de pescado,2020/08/23,1000
Pan de molde,2020/08/23,40