Name,When,Type,Age,Ingredient_0,Amount_0,Ingredient_1,Amount_1,Ingredient_2,Amount_2,Ingredient_3,Amount_3
Sopa de cocido,Lunch,First,Both,Caldo cocido,200,Fideos,125,,,,
Lentejas,Lunch,Main course,Both,Lentejas,100,Patatas,0.5,,,,
Macarrones,Lunch,Main course,Both,Macarrones,100,Tomate frito,100,,,,
Arroz a la cubana,Lunch,Main course,Both,Arroz blanco,100,Tomate frito,0.2,Huevos,1,,
Tostada,Breakfast,First,Both,Pan rebanadas,1,Mantequilla,0.1,,,,
Leche,Breakfast,Side,Both,Leche,120,,,,,,
Tostada con queso,Breakfast,First,Both,Pan rebanadas,1,Mantequilla,0.1,Lonchas de queso,1,,
Salchichas con leche y queso fresco,Dinner,First,Children,Salchichas Leche,4,Queso fresco,1,,,,
Pizza Jamón York y Queso,Dinner,Main course,Children,Bases de pizza,1,Jamón York,4,Queso pizza,0.5,,
Pizza Atún,Dinner,Main course,Adult,Bases de pizza,1,Atún,1,Queso pizza,0.5,,
Pizza Bacon con Huevo,Dinner,Main course,Adult,Bases de pizza,1,Cintas de bacon,1,Queso pizza,0.5,Huevos,1
Tortilla de patatas,Lunch,Main course,Both,Patatas,1,Huevos,1,,,,
Yogur que se bebe y galletas,Snack,First,Children,Yogur para beber,20,galleta 🍪 ,4,,,,
Caldo de pescado,Lunch,First,Both,Caldo de pescado,200,,,,,,
Calamares a la romana,Lunch,Main course,Both,Calamares romana,4,,,,,,
Batido de chocolate,Breakfast,Side,Adult,Batidos sin lactosa,1,,,,,,
Batido de chocolate,Snack,First,Adult,Batidos sin lactosa,1,,,,,,
Cereales,Breakfast,First,Adult,Cereales ,50,,,,,,
3 vegetales ,Dinner,,Adult,3 vegetales,0.5,,,,,,
Ensalada,Lunch,Side,Adult,Ensalada,0.25,,,,,,
Ensalada,Dinner,Side,Adult,Ensalada,0.25,,,,,,
Yogur,Lunch,Dessert,Both,Yogures azucar caña,1,,,,,,
Yogur,Dinner,Dessert,Both,Yogures azucar caña,1,,,,,,
Gelatina,Lunch,Dessert,Both,Gelatinas,1,,,,,,
Gelatina,Dinner,Dessert,Both,Gelatinas,1,,,,,,
Actimel,Mid morning,First,Children,Actimel,1,,,,,,
Actimel,Snack,First,Children,Actimel,1,,,,,,
Queso en lonchas,Mid morning,Side,Children,Lonchas de queso,1,,,,,,
Queso en lonchas,Snack,Side,Children,Lonchas de queso,1,,,,,,
Sandwich de atún,Mid morning,First,Children,Pan de molde,2,Atún,0.5,,,,
Sandwich de atún,Snack,First,Children,Pan de molde,2,Atún,0.5,,,,
Nuggets,Dinner,First,Children,Nuggets,6,,,,,,
Tostadas de salmón,Dinner,First,Adult,Barras de pan,0.25,Salmon Ahumado,0.2,,,,
Croquetas,Dinner,First,Children,Croquetas,4,,,,,,
Espaguetis,Lunch,First,Both,Espagueti 🍝 ,200,,,,,,
Minis Leche,Snack,First,Children,mini,1,,,,,,
Minis Leche,Mid morning,First,Children,mini,1,,,,,,
Tostadas con paté,Dinner,First,Adult,Barras de pan,0.25,Pate ,0.5,,,,
Zumo de piña,Mid morning,Side,Children,Zumo de piña,1,,,,,,
Zumo de piña,Snack,Side,Children,Zumo de piña,1,,,,,,
Carne empanada,Dinner,First,Both,pechuga,1,,,,,,
Gazpacho,Dinner,First,Adult,Gazpacho,0.5,,,,,,
Sandwich de paté,Mid morning,First,Children,Pan de molde,2,Pate ,0.2,,,,
Sandwich de paté,Snack,First,Children,Pan de molde,2,Pate ,0.2,,,,
Chocoflakes,Breakfast,Side,Children,chocoflaques,0.1,,,,,,